ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _wp_page_template","Meta: rs_page_bg_color","Meta: _wpb_vc_js_status","Meta: _wpcom_is_markdown","Meta: slide_template","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Download 1 ID","Download 1 name","Download 1 URL","Download 2 ID","Download 2 name","Download 2 URL"
7970,simple,,"Best Digital Agency",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,50,59,Uncategorized,,,"http://localhost/finix_test/wp-content/uploads/2021/08/product1-img1.jpg, http://localhost/finix_test/wp-content/uploads/2021/08/product1-img2.jpg, http://localhost/finix_test/wp-content/uploads/2021/08/product1-img3.jpg, http://localhost/finix_test/wp-content/uploads/2021/08/product1-img4.jpg",,,,,,,,,0,default,,false,,,,,,,,,,,,,,,,
7971,simple,,"Business Insurance",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,40,44,Uncategorized,,,http://localhost/finix_test/wp-content/uploads/2021/08/7.jpg,,,,,,,,,0,default,,false,,,,,,,,,,,,,,,,
7972,simple,,"Business Finance",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,39,Uncategorized,,,http://localhost/finix_test/wp-content/uploads/2021/08/6.jpg,,,,,,,,,0,default,,false,,,,,,,,,,,,,,,,
7973,variable,woo-vneck-tee,"Business Marketing",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts",,,http://localhost/finix_test/wp-content/uploads/2021/08/5.jpg,,,,,,,,,0,default,,false,1,,color,"Blue, Green, Red",1,1,size,"Large, Medium, Small",1,1,,,,,,
7974,variable,woo-hoodie,"Business Start Up",1,0,visible,"Aquia sit amet, elitr, sed diam nonum eirmod tempor invidunt labore et dolore magna aliquyam.erat, sed diam voluptua. At vero accusam et justo duo dolores et ea rebum.\n\nDicta sunt explicabo. Nemo enim ipsam voluptatem voluptas odit aut fugit, sed quia consequuntur. Lorem ipsum nonum eirmod dolor.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies",,,http://localhost/finix_test/wp-content/uploads/2021/08/4.jpg,,,,,,,,,0,default,,false,1,,color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,,,,,,
7975,simple,woo-hoodie-with-logo,"A Moments of Caring Future",1,0,visible,"Donec pulvinar tellus egetmagna aliquet ultricies. nec eleifend sem convallis vitae. soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repudiandaerepellendus.\n\nPellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,"Clothing > Accessories",Fashion,,"http://localhost/finix_test/wp-content/uploads/2021/08/sprout-table-white-900x900.jpg.webp, http://localhost/finix_test/wp-content/uploads/2021/08/sprout-table-black-900x900.jpg.webp",,,,,,,,,0,default,,false,1,,color,Blue,1,1,,,,,,,,,,
7976,simple,woo-tshirt,"Financial Industry Market",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18,"Clothing > Tshirts",Decor,,"http://localhost/finix_test/wp-content/uploads/2021/08/product-amber-body-lotion-680x844-1.jpg, http://localhost/finix_test/wp-content/uploads/2021/08/product-lily-body-lotion-680x844-1.jpg",,,,,,,,,0,default,,false,1,,color,Gray,1,1,,,,,,,,,,
7977,simple,woo-beanie,"Inspiring Digital Agency",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18,20,"Clothing > Accessories",Tshirts,,http://localhost/finix_test/wp-content/uploads/2021/08/1.jpg,,,,,,,,,0,default,,false,1,,color,Red,1,1,,,,,,,,,,
7978,simple,woo-belt,"Business Insurance",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,55,65,"Clothing > Accessories",,,http://localhost/finix_test/wp-content/uploads/2021/08/7.jpg,,,,,,,,,0,default,,false,1,,,,,,,,,,,,,,,
7979,simple,woo-cap,"Business Start Up Everything",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,16,18,"Clothing > Accessories",,,http://localhost/finix_test/wp-content/uploads/2021/08/12.jpg,,,,,,,,,0,default,,false,1,,color,Yellow,1,1,,,,,,,,,,
7980,simple,woo-sunglasses,"Enjoy the life at Every Stage",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90,"Clothing > Accessories",,,http://localhost/finix_test/wp-content/uploads/2021/08/11.jpg,,,,,,,,,0,default,,false,1,,,,,,,,,,,,,,,
7981,simple,woo-hoodie-with-pocket,"banking Worth Talking About",1,0,hidden,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,35,45,"Clothing > Hoodies",,,http://localhost/finix_test/wp-content/uploads/2021/08/10.jpg,,,,,,,,,0,default,,false,1,,color,Gray,1,1,,,,,,,,,,
7982,simple,woo-hoodie-with-zipper,"Best Digital Agency",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45,"Clothing > Hoodies",,,http://localhost/finix_test/wp-content/uploads/2021/08/9.jpg,,,,,,,,,0,default,,false,1,,,,,,,,,,,,,,,
7983,simple,woo-long-sleeve-tee,"Business Start Up",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,25,"Clothing > Tshirts",,,http://localhost/finix_test/wp-content/uploads/2021/08/8.jpg,,,,,,,,,0,default,,false,1,,color,Green,1,1,,,,,,,,,,
7984,simple,woo-polo,"Business Marketing",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,"Clothing > Tshirts",,,http://localhost/finix_test/wp-content/uploads/2021/08/5.jpg,,,,,,,,,0,default,,false,1,,color,Blue,1,1,,,,,,,,,,
